,Address,Long,Lat
119,"  , Missoula, MT",-114.0,46.87
120,"128 W MAIN ST, Missoula, MT",-114.0,46.87
121,"  , Missoula, MT",-114.0,46.87
122,"500 E ALDER ST, Missoula, MT",-113.99,46.87
123,"111 N HIGGINS AVE, Missoula, MT",-114.0,46.87
124,"  , Missoula, MT",-114.0,46.87
125,"133-135 N HIGGINS AVE, Missoula, MT",-113.99,46.87
126,"  , Missoula, MT",-114.0,46.87
127,"101 S THIRD ST W, Missoula, MT",,
128,"329 E PINE ST, Missoula, MT",-113.99,46.87
129,"  , Missoula, MT",-114.0,46.87
130,"225 W RAILROAD ST, Missoula, MT",-113.99,46.88
131,"120 N HIGGINS AVE, Missoula, MT",-113.99,46.87
132,"141 S THIRD ST W, Missoula, MT",,
133,"224 N HIGGINS AVE, Missoula, MT",-113.99,46.87
134,"  , Missoula, MT",-114.0,46.87
135,"  , Missoula, MT",-114.0,46.87
136,"200 W Broadway, Missoula, MT",,
137,"227 N HIGGINS AVE, Missoula, MT",-113.99,46.87
138,"  , Missoula, MT",-114.0,46.87
139,"234 E PINE ST, Missoula, MT",-113.99,46.87
140,"206 W MAIN ST, Missoula, MT",-114.0,46.87
141,"519 S HIGGINS AVE, Missoula, MT",-114.0,46.87
142,"247 W FRONT, Missoula, MT",,
143,"403 N HIGGINS, Missoula, MT",,
144,"541 S HIGGINS, Missoula, MT",,
145,"  , Missoula, MT",-114.0,46.87
146,"121 W BROADWAY, Missoula, MT",,
147,"275 W MAIN ST, Missoula, MT",-114.0,46.87
148,"100 E MAIN ST, Missoula, MT",,
149,"208 E MAIN ST, Missoula, MT",-113.99,46.87
150,"100 E BROADWAY, Missoula, MT",,
151,"315 N HIGGINS AVE, Missoula, MT",-113.99,46.87
152,"451 N HIGGINS AVE, Missoula, MT",-113.99,46.87
153,"424 N HIGGINS, Missoula, MT",,
154,"223 W BROADWAY, Missoula, MT",,
155,"201 N HIGGINS AVE, Missoula, MT",-113.99,46.87
156,"500 N HIGGINS, Missoula, MT",,
157,"139 W FRONT ST, Missoula, MT",-114.0,46.87
158,"119 W MAIN ST, Missoula, MT",-114.0,46.87
159,"180-210 S THIRD ST W, Missoula, MT",,
160,"200 N ADAMS, Missoula, MT",,
161,"101 E BROADWAY, Missoula, MT",,
162,"125 E MAIN ST, Missoula, MT",-113.99,46.87
163,"127 W ALDER ST, Missoula, MT",-113.99,46.88
164,"502 W SPRUCE ST, Missoula, MT",-114.0,46.88
165,"204  CHESTNUT, Missoula, MT",-114.0,46.87
166,"127 E MAIN ST, Missoula, MT",-113.99,46.87
167,"525-531 S HIGGINS AVE, Missoula, MT",-114.0,46.86
168,"  , Missoula, MT",-114.0,46.87
169,"103-115 W MAIN ST, Missoula, MT",-114.0,46.87
170,"129 N HIGGINS AVE, Missoula, MT",-114.0,46.87
171,"320 N HIGGINS AVE, Missoula, MT",-113.99,46.87
172,"110  CAROUSEL DR, Missoula, MT",-114.0,46.87
173,"201 W RAILROAD ST, Missoula, MT",-113.99,46.88
174,"624  WOODY ST, Missoula, MT",-113.99,46.88
175,"318 N HIGGINS AVE, Missoula, MT",-113.99,46.87
176,"900 S HIGGINS AVE, Missoula, MT",-114.0,46.86
177,"403 N HIGGINS AVE, Missoula, MT",-113.99,46.87
178,"130 W PINE ST, Missoula, MT",-113.99,46.87
179,"301 N HIGGINS AVE, Missoula, MT",-113.99,46.87
180,"283 W FRONT ST, Missoula, MT",-114.0,46.87
181,"  , Missoula, MT",-114.0,46.87
182,"  , Missoula, MT",-114.0,46.87
183,"331 E BROADWAY, Missoula, MT",,
184,"250  STATION DR, Missoula, MT",-114.0,46.87
185,"640  RIVER ST, Missoula, MT",-114.01,46.87
186,"514  RIVER ST, Missoula, MT",-114.0,46.87
187,"1250 S FIRST ST W, Missoula, MT",,
188,"120  HICKORY ST, Missoula, MT",-114.01,46.87
189,"112 N PATTEE ST, Missoula, MT",-113.99,46.87
190,"625 W PINE ST, Missoula, MT",-114.0,46.88
191,"121 S HIGGINS AVE, Missoula, MT",-114.0,46.87
192,"255-257 W FRONT ST, Missoula, MT",-114.0,46.87
193,"115-119 W FRONT ST, Missoula, MT",-114.0,46.87
194,"231 W FRONT ST, Missoula, MT",-114.0,46.87
195,"  , Missoula, MT",-114.0,46.87
196,"137 W FRONT ST, Missoula, MT",-114.0,46.87
197,"126 E BROADWAY, Missoula, MT",,
198,"101 S CALIFORNIA ST, Missoula, MT",-114.01,46.87
199,"140 W PINE ST, Missoula, MT",-113.99,46.87
200,"147 W BROADWAY, Missoula, MT",,
201,"835 E BROADWAY, Missoula, MT",,
202,"201 E BROADWAY, Missoula, MT",,
203,"ROW  WYOMING, Missoula, MT",,
204,"223-229 E MAIN ST, Missoula, MT",-113.99,46.87
205,"229 E MAIN ST, Missoula, MT",,
206,"  , Missoula, MT",-114.0,46.87
207,"121 S HIGGINS AVE, Missoula, MT",-114.0,46.87
208,"  , Missoula, MT",-114.0,46.87
209,"  CHESTNUT ST, Missoula, MT",-114.0,46.87
210,"  , Missoula, MT",-114.0,46.87
211,"803-809 E FRONT ST, Missoula, MT",-113.99,46.87
212,"415 N HIGGINS AVE, Missoula, MT",-113.99,46.87
213,"  HILDA ST, Missoula, MT",-113.99,46.87
214,"231 W FRONT ST, Missoula, MT",-114.0,46.87
215,"  , Missoula, MT",-114.0,46.87
216,"501 W ALDER ST, Missoula, MT",-114.0,46.88
217,"  , Missoula, MT",-114.0,46.87
218,"  , Missoula, MT",-114.0,46.87
219,"120 W FRONT ST, Missoula, MT",-114.0,46.87
220,"1200 blk  RIVER ST, Missoula, MT",,
221,"  , Missoula, MT",-114.0,46.87
222,"820 E BROADWAY, Missoula, MT",,
223,"216 W MAIN ST, Missoula, MT",-114.0,46.87
224,"328 E PINE ST, Missoula, MT",-113.99,46.87
225,"  , Missoula, MT",-114.0,46.87
226,"200 S THIRD ST W, Missoula, MT",,
227,"1205 W BROADWAY, Missoula, MT",,
228,"1120  CEDAR, Missoula, MT",,
229,"129 N HIGGINS AVE, Missoula, MT",-114.0,46.87
230,"  , Missoula, MT",-114.0,46.87
231,"211 W BROADWAY, Missoula, MT",,
232,"714  TOOLE AVE, Missoula, MT",-114.0,46.88
233,"924  TOOLE AVE, Missoula, MT",-114.0,46.88
234,"215 E ALDER ST, Missoula, MT",-113.99,46.87
235,"501 N HIGGINS AVE, Missoula, MT",-113.99,46.87
236,"330 N HIGGINS AVE, Missoula, MT",-113.99,46.87
237,"603  WOODY ST, Missoula, MT",-114.0,46.88
238,"200 N ADAMS, Missoula, MT",,
239,"312-314 N HIGGINS AVE, Missoula, MT",-113.99,46.87
240,"  , Missoula, MT",-114.0,46.87
241,"1136 W BROADWAY, Missoula, MT",,
242,"335  PATTEE, Missoula, MT",-113.99,46.87
243,"1300 W BROADWAY, Missoula, MT",,
244,"  , Missoula, MT",-114.0,46.87
245,"  , Missoula, MT",-114.0,46.87
246,"  , Missoula, MT",-114.0,46.87
247,"1437 S FIRST ST W, Missoula, MT",,
248,"111 N ORANGE ST , Missoula, MT",-114.0,46.87
249,"111 N ORANGE ST , Missoula, MT",-114.0,46.87
250,"416 E PINE ST, Missoula, MT",-113.99,46.87
251,"201-223 W BROADWAY, Missoula, MT",,
252,"180 S THIRD ST W, Missoula, MT",,
253,"101 E BROADWAY, Missoula, MT",,
254,"301 W ALDER ST, Missoula, MT",-114.0,46.88
255,"240-244 S THIRD ST W, Missoula, MT",,
256,"705 S HIGGINS AVE, Missoula, MT",-114.0,46.86
257,"  , Missoula, MT",-114.0,46.87
258,"800 w BROADWAY, Missoula, MT",,
259,"  , Missoula, MT",-114.0,46.87
260,"129 W ALDER ST, Missoula, MT",-113.99,46.88
261,"1305  WYOMING, Missoula, MT",-114.02,46.87
262,"1112 W BROADWAY, Missoula, MT",,
263,"121  HICKORY ST, Missoula, MT",-114.01,46.87
264,"140 W PINE ST, Missoula, MT",-113.99,46.87
265,"180-210 S THIRD ST W, Missoula, MT",,
266,"224 E PINE ST, Missoula, MT",-113.99,46.87
